item,req_id,req_date,requester,status,budget_status,cost
tea,NWUNV/REQ2194432,6/5/2025,QDR0260,Complete,Valid,362.10 USD
candy cups,NWUNV/REQ2190146,5/22/2025,QDR0260,Complete,Valid,288.23 USD
candy,NWUNV/REQ2187548,5/15/2025,QDR0260,Complete,Valid,267.39 USD
candy,NWUNV/REQ2185995,5/12/2025,QDR0260,Complete,Valid,184.38 USD
candy,NWUNV/REQ2183983,5/6/2025,QDR0260,Complete,Valid,0.00 USD
candy,NWUNV/REQ2177355,4/17/2025,QDR0260,Complete,Valid,359.58 USD
"candy, tea, mints",NWUNV/REQ2167775,3/25/2025,QDR0260,Complete,Valid,856.88 USD
cups and candy,NWUNV/REQ2158747,3/1/2025,QDR0260,Complete,Valid,555.62 USD
"cups, candy",NWUNV/REQ2156782,2/25/2025,QDR0260,Complete,Valid,0.00 USD
cups,NWUNV/REQ2151514,2/11/2025,QDR0260,Complete,Valid,0.00 USD
candy,NWUNV/REQ2146710,1/30/2025,QDR0260,Complete,Valid,359.58 USD
candy,NWUNV/REQ2142845,1/22/2025,QDR0260,Complete,Valid,179.79 USD
candy,NWUNV/REQ2134925,1/2/2025,QDR0260,Complete,Valid,179.79 USD
candy,NWUNV/REQ2128526,12/4/2024,QDR0260,Complete,Valid,179.79 USD
candy,NWUNV/REQ2121734,11/14/2024,QDR0260,Complete,Valid,179.79 USD
candy tea,NWUNV/REQ2116946,11/4/2024,QDR0260,Complete,Valid,339.67 USD
candy,NWUNV/REQ2113038,10/24/2024,QDR0260,Complete,Valid,263.46 USD
candy,NWUNV/REQ2107864,10/12/2024,QDR0260,Complete,Valid,271.98 USD
candy,NWUNV/REQ2103252,10/1/2024,QDR0260,Complete,Valid,271.98 USD
candy,NWUNV/REQ2096009,9/15/2024,QDR0260,Complete,Valid,92.19 USD
"cups, plates",NWUNV/REQ2088878,8/27/2024,QDR0260,Complete,Valid,125.75 USD
candy,NWUNV/REQ2077207,7/29/2024,QDR0260,Complete,Valid,184.38 USD
candy,NWUNV/REQ2072334,7/16/2024,QDR0260,Complete,Valid,345.72 USD
candy,NWUNV/REQ2067137,7/1/2024,QDR0260,Complete,Valid,251.37 USD
candy,NWUNV/REQ2064375,6/24/2024,QDR0260,Complete,Valid,92.19 USD
candy tea,NWUNV/REQ2056054,5/30/2024,QDR0260,Complete,Valid,415.50 USD
candy,NWUNV/REQ2047232,5/7/2024,QDR0260,Complete,Valid,172.86 USD
candy,NWUNV/REQ2043539,4/27/2024,QDR0260,Complete,Valid,172.86 USD
faculty coffee supplies,NWUNV/REQ2043534,4/27/2024,QDR0260,Complete,Valid,348.03 USD
candy,NWUNV/REQ2041220,4/22/2024,QDR0260,Complete,Valid,92.19 USD
candy,NWUNV/REQ2037107,4/11/2024,QDR0260,Complete,Valid,172.86 USD
candy,NWUNV/REQ2028771,3/21/2024,QDR0260,Complete,Valid,172.86 USD
candy,NWUNV/REQ2018936,2/27/2024,QDR0260,Complete,Valid,92.19 USD
"faculty tea, coffee. supplies",NWUNV/REQ2018081,2/26/2024,QDR0260,Complete,Valid,610.26 USD
"tea, candy",NWUNV/REQ2015689,2/20/2024,QDR0260,Complete,Valid,375.06 USD
candy,NWUNV/REQ2007710,2/1/2024,QDR0260,Complete,Valid,170.70 USD
candy tea,NWUNV/REQ2003674,1/23/2024,QDR0260,Complete,Valid,199.88 USD
coffee supplies,NWUNV/REQ1995010,1/2/2024,QDR0260,Complete,Valid,425.32 USD
candy,NWUNV/REQ1994993,1/2/2024,QDR0260,Complete,Valid,172.86 USD
tea,NWUNV/REQ1982219,11/14/2023,QDR0260,Complete,Valid,202.20 USD
candy,NWUNV/REQ1981668,11/13/2023,QDR0260,Complete,Valid,92.19 USD
"faculty coffee, sugar",NWUNV/REQ1976999,11/1/2023,QDR0260,Complete,Valid,389.49 USD
tea,NWUNV/REQ1976617,10/31/2023,QDR0260,Complete,Valid,122.58 USD
tea,NWUNV/REQ1976616,10/31/2023,QDR0260,Complete,Valid,408.60 USD
candy,NWUNV/REQ1975812,10/30/2023,QDR0260,Complete,Valid,92.19 USD
tea,NWUNV/REQ1969708,10/14/2023,QDR0260,Complete,Valid,770.14 USD
candy,NWUNV/REQ1968606,10/11/2023,QDR0260,Complete,Valid,92.19 USD
candy,NWUNV/REQ1963295,9/28/2023,QDR0260,Complete,Valid,92.19 USD
coffee supplies,NWUNV/REQ1963127,9/28/2023,QDR0260,Complete,Valid,158.82 USD
candy tea,NWUNV/REQ1955773,9/11/2023,QDR0260,Complete,Valid,275.01 USD
coffee supplies,NWUNV/REQ1948114,8/21/2023,QDR0260,Complete,Valid,181.07 USD
candy,NWUNV/REQ1943227,8/8/2023,QDR0260,Complete,Valid,172.86 USD
candy,NWUNV/REQ1935811,7/20/2023,QDR0260,Complete,Valid,87.69 USD
candy,NWUNV/REQ1934234,7/17/2023,QDR0260,Complete,Valid,96.08 USD
coffee,NWUNV/REQ1931888,7/11/2023,QDR0260,Complete,Valid,352.95 USD
"coffee supplies, candy",NWUNV/REQ1931278,7/10/2023,QDR0260,Complete,Valid,222.56 USD
candy tea,NWUNV/REQ1918231,6/1/2023,QDR0260,Complete,Valid,236.90 USD
hot chocolate,NWUNV/REQ1917628,5/31/2023,QDR0260,Complete,Valid,175.32 USD
candy,NWUNV/REQ1910775,5/11/2023,QDR0260,Complete,Valid,158.79 USD
creamer,NWUNV/REQ1908069,5/4/2023,QDR0260,Complete,Valid,35.18 USD
cups and lids,NWUNV/REQ1906904,5/2/2023,QDR0260,Complete,Valid,218.44 USD
coffee,NWUNV/REQ1901560,4/18/2023,QDR0260,Complete,Valid,352.95 USD
candy,NWUNV/REQ1898990,4/11/2023,QDR0260,Complete,Valid,158.79 USD
candy,NWUNV/REQ1895812,4/3/2023,QDR0260,Complete,Valid,87.69 USD
candy,NWUNV/REQ1889749,3/17/2023,QDR0260,Complete,Valid,87.69 USD
spoons,NWUNV/REQ1887060,3/11/2023,QDR0260,Complete,Valid,85.68 USD
coffee creamer,NWUNV/REQ1887057,3/11/2023,QDR0260,Complete,Valid,35.18 USD
"coffee, candy",NWUNV/REQ1879437,2/21/2023,QDR0260,Complete,Valid,440.64 USD
office tea,NWUNV/REQ1873814,2/7/2023,QDR0260,Complete,Valid,54.09 USD
candy,NWUNV/REQ1872291,2/2/2023,QDR0260,Complete,Valid,158.79 USD
coffee creamer,NWUNV/REQ1868275,1/24/2023,QDR0260,Complete,Valid,35.18 USD
coffee,NWUNV/REQ1864567,1/14/2023,QDR0260,Complete,Valid,410.62 USD
candy,NWUNV/REQ1862326,1/9/2023,QDR0260,Complete,Valid,158.79 USD
tea,NWUNV/REQ1844700,11/8/2022,QDR0260,Complete,Valid,232.56 USD
candy,NWUNV/REQ1836032,10/17/2022,QDR0260,Complete,Valid,52.93 USD
tea and supplies,NWUNV/REQ1825010,9/19/2022,QDR0260,Complete,Valid,589.21 USD
